Jaringan Listrik,1272
Penyakit Masyarakat,6
Pohon,1621
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan,938
Tata Ruang dan Bangunan,207
Jaringan Komunikasi,144
Perizinan Bidang Kesehatan,16
Trotoar,642
Gangguan Ketenteraman dan KetertibanSaluran Air(Kali/Sungai),1215
Sampah,701
Penyelamatan,837
Jalan,18
Fasilitas Sosial/Fasilitas Umum (Fasos/Fasum),2703
Pelayanan Perhubungan,1133
Perizinan Bidang Lingkungan Hidup   ,551
Penanganan Banjir,33
Parkir liar,505
Transportasi Publik,567
Arus Lalu Lintas,329
Jaringan Air Bersih,1143
Taman,273
Komunikasi Pemerintah,93
Penataan dan Pengembangan Wilayah   ,17
Penyandang Masalah Kesejahteraan Sosial (PMKS),44
Perizinan Bidang Ketenteraman/Ketertiban dan Perlindungan Masyarakat   ,39
Konflik Sosial,288
Perizinan Bidang Pekerjaan Umum dan ,10
Penataan Ruang,38
Fasilitas Kesehatan Milik Pusat/Swasta/Klinik Swasta,28
Reklame,191
Lokasi Binaan dan Lokasi Sementara  ,5
Internal Dinas Pemberdayaan(Perlindungan Anak dan Pengendalian PendudukRuang Publik Terpadu Ramah Anak (RPTRA)),5
Akta Kelahiran,18
Puskesmas,15
Pelayanan Administrasi,21
Taman Pemakaman Umum (TPU),20
Batas Wilayah,10
Pungutan Liar,58
Dokumen Administrasi Kependudukan   ,193
Demam Berdarah Dengue (DBD),37
Prasarana dan Sarana Penanggulangan ,26
Kebakaran,32
Perizinan Bidang Pendidikan,4
Bantuan Pendidikan,20
Perizinan Bidang Perumahan dan Kawasan Permukiman,165
Perizinan Bidang Pertanahan yang menjadi kewenangan Daerah,16
Keluhan Pelayanan,34
Penataan Permukiman (Kampung Deret/Bedah Rumah),24
Akta Kematian,3
Rumah Susun/Hunian Vertikal,101
Bantuan Sosial,139
Perizinan Bidang Penanaman Modal    ,19
Tutup Saluran,130
Kearsipan,3
Pelayanan Bidang Penanggulangan Kebakaran dan Penyelamatan,91
Pajak Bumi dan Bangunan (PBB)       ,16
Pendataan Kesehatan,8
Sumur Resapan,15
Keluhan Lingkungan Kost,2
Pencemaran lingkungan,109
Hubungan Pekerja-Pengusaha,29
Tenaga kependidikan,5
Pindah dan Datang Dalam DKI,1
Lembaga Kemasyarakatan,3
Usaha Hiburan dan Rekreasi,4
Penanganan Kebakaran,75
Gedung sekolah,14
Nomor Induk Kependudukan (NIK)      ,4
Perizinan Bidang Perdagangan        ,6
Fasilitas Olahraga,16
Kartu Jakarta Pintar (KJP) / Kartu Jakarta Mahasiswa Unggul (KJMU)      ,17
Statistik Daerah,1
Ganguan dan Sisa Proyek,5
Sanitasi dan Keamanan Pangan        ,2
Perizinan Bidang Perhubungan        ,11
Sertifikat atau Dokumen Kepemilikan ,24
Dokumen Administrasi Kependudukan dan Pencatatan Sipil Orang Asing      ,2
Jembatan,68
Pembebasan lahan,5
Kartu Keluarga (KK),9
Bahan Bakar Minyak,10
Perlindungan Anak,5
Perizinan Bidang Kehutanan,1
KTP Elektronik (KTP-el),23
Perizinan Bidang Sosial,6
Posyandu,1
Perdagangan,6
Perizinan Bidang Kepemudaan dan Olahraga,2
RSUD,9
Hewan Peliharaan,3
Satwa liar,2
Perizinan Bidang KUMKMP,2
Tindakan Asusila,2
Imunisasi,2
Pemberdayaan Perempuan,5
Jaminan Kesehatan Nasional (JKN) berupa Kartu Indonesia Sehat (KIS)/BPJS Kesehatan,10
Rumah Potong Hewan,1
Tempat Wisata,5
Fasilitas Pendidikan Milik Pemerintah Pusat/Swasta,4
Orang Hilang,5
UMKM,3
Akta Perkawinan,4
Bahan Bakar Gas,1
DP Rp. 0,1
Kurikulum dan Kegiatan Sekolah      ,2
Hubungan Kepegawaian,8
Industri Kecil dan Menengah,3
Ambulans Gawat Darurat,1
Kepemudaan,1
Rupabumi,1
Koperasi,2
Energi,5
Perizinan Bidang Tenaga Kerja       ,4
Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB),3
Hewan Tak Berpemilik,1
Permasalahan Siswa,2
Pendidikan Anak Usia Dini (PAUD)    ,1
Transmigrasi,1
Perizinan Bidang Energi dan Sumber Daya Mineral,1
Jaringan Listrik,672
Sampah,591
Parkir Liar,602
Keluhan Pelayanan,193
Tata Ruang dan Bangunan,193
Lokasi PKL Binaan,4
Perizinan,127
Keluhan Fasilitas Gedung Pemda (sekolah/kantor),605
Jembatan/JPO/Halte,76
PKL Liar,158
Gangguan dan Kebisingan,549
Pertanahan,17
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),526
Reklame/Spanduk,105
Tutup Saluran,87
Pencemaran Lingkungan,97
Satwa Liar,13
Hubungan Pekerja-Pengusaha,16
Pelayanan Kesehatan,26
Kawasan Dilarang Merokok,491
Jaringan/Menara Telekomunikasi      ,69
Rusun/Hunian Vertikal,61
PDAM/PAM,145
KTP-el,17
Perilaku Peserta Didik,1
Taman,72
PMKS (Penyandang Masalah Kesejahteraan Sosial),26
Kegiatan dan Kurikulum Pendidikan   ,10
Perlengkapan Lalu Lintas,129
Fasilitasi Kerjasama/Kolaborasi Pemda DKI,54
TPU (Tempat Pemakaman Umum),11
Perlindungan Korban Tindak KekerasanPajak Bumi dan Bangunan (PBB)/BPHTB ,2
Layanan Administrasi Kependudukan   ,8
Fasilitas dan Layanan Olahraga      ,15
Jak Wifi,11
Perpustakaan dan Kearsipan,6
RPTRA,1
Konflik Sosial,13
Guru/Pendidik dan Tenaga Kependidikan,20
Keluhan Galian/Sisa Proyek,11
Hubungan Kepegawaian,43
BPJS Kesehatan/KIS,6
Sanitasi dan Kesehatan Pangan       ,6
Layanan Administrasi Kependudukan Orang Asing,3
Demam Berdarah Dengue (DBD),6
Perdagangan/UMKM,7
Kegiatan Seni dan Budaya,5
Lembaga/Organisasi Kemasyarakatan,1
