Gangguan Ketenteraman dan KetertibanHewan Peliharaan,1643
Jalan,8
Trotoar,4150
Sampah,463
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan,846
Fasilitas Sosial/Fasilitas Umum (Fasos/Fasum),1203
Pelayanan Perhubungan,1149
Pohon,811
Saluran Air(Kali/Sungai),3023
Reklame,1009
Parkir liar,432
Taman,1083
Sumur Resapan,152
Jaringan Komunikasi,27
Penyandang Masalah Kesejahteraan Sosial (PMKS),260
Kurikulum dan Kegiatan Sekolah      ,94
Perizinan Bidang Pekerjaan Umum dan ,16
Penataan Ruang,48
Jaringan Listrik,1244
Perizinan Bidang Ketenteraman/Ketertiban dan Perlindungan Masyarakat   ,476
Fasilitas Kesehatan Milik Pusat/Swasta/Klinik Swasta,42
Arus Lalu Lintas,1081
Penataan dan Pengembangan Wilayah   ,50
Pelayanan Bidang Penanggulangan Kebakaran dan Penyelamatan,31
Tata Ruang dan Bangunan,341
Puskesmas,34
Perizinan Bidang Penanaman Modal    ,23
RSUD,13
Transportasi Publik,338
Hubungan Pekerja-Pengusaha,16
Perizinan Bidang Pendidikan,8
Komunikasi Pemerintah,65
Batas Wilayah,29
Tutup Saluran,191
Penanganan Banjir,432
Kartu Jakarta Pintar (KJP) / Kartu Jakarta Mahasiswa Unggul (KJMU)      ,29
Fasilitas Pendidikan Milik Pemerintah Pusat/Swasta,7
Jaringan Air Bersih,197
Pemberdayaan Perempuan,7
Pencemaran lingkungan,199
Bahan Bakar Gas,3
Rumah Susun/Hunian Vertikal,58
Lembaga Kemasyarakatan,9
Pungutan Liar,66
Tenaga kependidikan,11
Taman Pemakaman Umum (TPU),29
Perizinan Bidang Lingkungan Hidup   ,30
Lokasi Binaan dan Lokasi Sementara  ,5
Penyelamatan,19
Perizinan Bidang Perhubungan        ,15
Ruang Publik Terpadu Ramah Anak (RPTRA),25
Bahan Bakar Minyak,5
Prasarana dan Sarana Penanggulangan ,20
Kebakaran,54
Keluhan Pelayanan,4
Ambulans Gawat Darurat,4
Permasalahan Siswa,24
Penataan Permukiman (Kampung Deret/Bedah Rumah),249
Bantuan Sosial,60
Penanganan Kebakaran,7
UMKM,42
Fasilitas Olahraga,24
Bantuan Pendidikan,50
Jembatan,9
Ganguan dan Sisa Proyek,13
Imunisasi,9
Sertifikat atau Dokumen Kepemilikan ,1
Komunikasi Publik,6
Perlindungan Anak,41
Gedung sekolah,23
KTP Elektronik (KTP-el),51
Perizinan Bidang Perumahan dan Kawasan Permukiman,7
Hewan Tak Berpemilik,19
Pendataan Kesehatan,18
Pajak Bumi dan Bangunan (PBB)       ,6
Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB),1
Satwa liar,5
Jaminan Kesehatan Nasional (JKN) berupa Kartu Indonesia Sehat (KIS)/BPJS Kesehatan,1
Pengolahan Ikan,9
Perizinan Bidang KUMKMP,18
Dokumen Administrasi Kependudukan   ,18
Hubungan Kepegawaian,24
Pembebasan lahan,21
Demam Berdarah Dengue (DBD),5
Sembilan Bahan Pokok,47
Perizinan Bidang Pertanahan yang menjadi kewenangan Daerah,5
Perizinan Bidang Perdagangan        ,1
Sanitasi dan Keamanan Pangan        ,3
Kearsipan,2
Rupabumi,4
Perizinan Bidang Sosial,9
Akta Kelahiran,4
Kepemudaan,12
Konflik Sosial,5
Rumah Potong Hewan,1
DP Rp. 0,10
Perdagangan,8
Pendaftaran Peserta Didik,4
Perizinan Bidang Kepemudaan dan Olahraga,10
Pelayanan Administrasi,9
Perizinan Bidang Kesehatan,7
Kartu Keluarga (KK),1
Akta Kematian,1
Tindakan Asusila,2
Orang Hilang,2
Pendidikan Anak Usia Dini (PAUD)    ,2
Internal Dinas Pemberdayaan(Perlindungan Anak dan Pengendalian PendudukTempat Wisata),4
Penyakit Masyarakat,6
Perizinan Bidang Tenaga Kerja       ,10
Posyandu,1
Energi,13
Koperasi,1
Nomor Induk Kependudukan (NIK)      ,1
Perizinan Bidang Kehutanan,1
Sertifikasi Guru,4
Statistik Daerah,1
Keluhan Sarana dan Prasarana pada Gedung Pemeritahan,1
Rumah Potong Hewan,4
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),359
Parkir Liar,1222
Keluhan Fasilitas Gedung Pemda (sekolah/kantor),777
Gangguan dan Kebisingan,578
Satwa Liar,20
Perizinan,515
Jaringan/Menara Telekomunikasi      ,95
PKL Liar,444
Reklame/Spanduk,493
Pencemaran Lingkungan,116
Jaringan Listrik,842
Tata Ruang dan Bangunan,313
Keluhan Pelayanan,361
Sampah,912
Tutup Saluran,90
Rusun/Hunian Vertikal,62
Hubungan Pekerja-Pengusaha,23
Pelayanan Kesehatan,55
Kegiatan dan Kurikulum Pendidikan   ,17
Perlengkapan Lalu Lintas,207
Keluhan Galian/Sisa Proyek,73
Taman,71
PMKS (Penyandang Masalah Kesejahteraan Sosial),49
Fasilitas dan Layanan Olahraga      ,29
Demam Berdarah Dengue (DBD),11
Jak Wifi,8
Layanan Administrasi Kependudukan Orang Asing,3
Kawasan Dilarang Merokok,179
Pertanahan,37
BPJS Kesehatan/KIS,6
Perdagangan/UMKM,14
PDAM/PAM,68
Konflik Sosial,14
Fasilitasi Kerjasama/Kolaborasi Pemda DKI,16
TPU (Tempat Pemakaman Umum),19
RPTRA,16
Layanan Administrasi Kependudukan   ,19
Jembatan/JPO/Halte,64
Pengolahan Ikan,1
Guru/Pendidik dan Tenaga Kependidikan,10
Orang Hilang,1
Perlindungan Korban Tindak KekerasanKTP-el,9
Pajak Bumi dan Bangunan (PBB)/BPHTB ,17
Hubungan Kepegawaian,10
Pendaftaran (PPDB),7
Lokasi PKL Binaan,8
Keluhan Bahan Pokok,3
Lembaga/Organisasi Kemasyarakatan   ,1
Sanitasi dan Kesehatan Pangan       ,9
Perilaku Peserta Didik,1
